,id,original_title,budget,vote_count,vote_average,revenue,genres,runtime,popularity,profit,release_data
0,862,Toy Story,30000000.0,5415.0,7.7,373554033.0,"[' Animation', ' Comedy', ' Family']",81.0,21.946943,343554033.0,1995-10-30
1,8844,Jumanji,65000000.0,2413.0,6.9,262797249.0,"[' Adventure', ' Fantasy', ' Family']",104.0,17.015539,197797249.0,1995-12-15
2,15602,Grumpier Old Men,0.0,92.0,6.5,0.0,"[' Romance', ' Comedy']",101.0,11.7129,0.0,1995-12-22
3,31357,Waiting to Exhale,16000000.0,34.0,6.1,81452156.0,"[' Comedy', ' Drama', ' Romance']",127.0,3.859495,65452156.0,1995-12-22
4,11862,Father of the Bride Part II,0.0,173.0,5.7,76578911.0,[' Comedy'],106.0,8.387519000000001,76578911.0,1995-02-10
5,949,Heat,60000000.0,1886.0,7.7,187436818.0,"[' Action', ' Crime', ' Drama', ' Thriller']",170.0,17.924927,127436818.0,1995-12-15
6,11860,Sabrina,58000000.0,141.0,6.2,0.0,"[' Comedy', ' Romance']",127.0,6.677277,-58000000.0,1995-12-15
7,45325,Tom and Huck,0.0,45.0,5.4,0.0,"[' Action', ' Adventure', ' Drama', ' Family']",97.0,2.5611610000000002,0.0,1995-12-22
8,9091,Sudden Death,35000000.0,174.0,5.5,64350171.0,"[' Action', ' Adventure', ' Thriller']",106.0,5.23158,29350171.0,1995-12-22
9,710,GoldenEye,58000000.0,1194.0,6.6,352194034.0,"[' Adventure', ' Action', ' Thriller']",130.0,14.686035999999998,294194034.0,1995-11-16
10,9087,The American President,62000000.0,199.0,6.5,107879496.0,"[' Comedy', ' Drama', ' Romance']",106.0,6.318445,45879496.0,1995-11-17
11,12110,Dracula: Dead and Loving It,0.0,210.0,5.7,0.0,"[' Comedy', ' Horror']",88.0,5.430331,0.0,1995-12-22
12,21032,Balto,0.0,423.0,7.1,11348324.0,"[' Family', ' Animation', ' Adventure']",78.0,12.140733,11348324.0,1995-12-22
13,10858,Nixon,44000000.0,72.0,7.1,13681765.0,"[' History', ' Drama']",192.0,5.092,-30318235.0,1995-12-22
14,1408,Cutthroat Island,98000000.0,137.0,5.7,10017322.0,"[' Action', ' Adventure']",119.0,7.284477000000001,-87982678.0,1995-12-22
15,524,Casino,52000000.0,1343.0,7.8,116112375.0,"[' Drama', ' Crime']",178.0,10.137389,64112375.0,1995-11-22
16,4584,Sense and Sensibility,16500000.0,364.0,7.2,135000000.0,"[' Drama', ' Romance']",136.0,10.673167,118500000.0,1995-12-13
17,5,Four Rooms,4000000.0,539.0,6.5,4300000.0,"[' Crime', ' Comedy']",98.0,9.026586,300000.0,1995-12-09
18,9273,Ace Ventura: When Nature Calls,30000000.0,1128.0,6.1,212385533.0,"[' Crime', ' Comedy', ' Adventure']",90.0,8.205447999999999,182385533.0,1995-11-10
19,11517,Money Train,60000000.0,224.0,5.4,35431113.0,"[' Action', ' Comedy', ' Crime']",103.0,7.337905999999999,-24568887.0,1995-11-21
20,8012,Get Shorty,30250000.0,305.0,6.4,115101622.0,"[' Comedy', ' Thriller', ' Crime']",105.0,12.669608,84851622.0,1995-10-20
21,1710,Copycat,0.0,199.0,6.5,0.0,"[' Drama', ' Thriller']",124.0,10.701801,0.0,1995-10-27
22,9691,Assassins,50000000.0,394.0,6.0,30303072.0,"[' Action', ' Adventure', ' Crime', ' Thriller']",132.0,11.065939,-19696928.0,1995-10-06
23,12665,Powder,0.0,143.0,6.3,0.0,"[' Drama', ' Fantasy', ' Science Fiction', ' Thriller']",111.0,12.133094,0.0,1995-10-27
24,451,Leaving Las Vegas,3600000.0,365.0,7.1,49800000.0,"[' Drama', ' Romance']",112.0,10.332025,46200000.0,1995-10-27
25,16420,Othello,0.0,33.0,7.0,0.0,[' Drama'],123.0,1.8458990000000002,0.0,1995-12-15
26,9263,Now and Then,12000000.0,91.0,6.6,27400000.0,"[' Comedy', ' Drama', ' Family']",100.0,8.681325,15400000.0,1995-10-20
27,17015,Persuasion,0.0,36.0,7.4,0.0,"[' Drama', ' Romance']",104.0,2.228434,0.0,1995-09-27
28,902,La Cité des Enfants Perdus,18000000.0,308.0,7.6,1738611.0,"[' Fantasy', ' Science Fiction', ' Adventure']",108.0,9.822422999999999,-16261389.0,1995-05-16
29,37557,摇啊摇，摇到外婆桥,0.0,17.0,6.5,0.0,"[' Drama', ' Crime']",108.0,1.1009149999999999,0.0,1995-04-30
30,9909,Dangerous Minds,0.0,249.0,6.4,180000000.0,"[' Drama', ' Crime']",99.0,9.481338000000001,180000000.0,1995-08-11
31,63,Twelve Monkeys,29500000.0,2470.0,7.4,168840000.0,"[' Science Fiction', ' Thriller', ' Mystery']",129.0,12.297305,139340000.0,1995-12-29
32,78802,"Guillaumet, les ailes du courage",0.0,4.0,6.8,0.0,"[' Romance', ' Adventure']",50.0,0.745542,0.0,1996-09-18
